year,product_code,product_fullname_english,product_shortname_english,group_code,group_name,community_code,community_name,community_color,export_value_usd,import_value_usd,export_rca,import_rca,,,,,,,,
1962,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",Medical Instruments,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,5235492,2937299,1.0105,0.8256,,,,,,,,
1962,9017,"Drawing, marking-out, mathematical calculating instruments (drafting machines, protractors, drawing sets etc); instruments for measuring length (e.g. measuring rods, tapes, micrometers, callipers) n.e.c.",Drafting Tools,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,12360208,12025100,0.8593,1.2174,,,5538568329,16306843310,1.42193E+12,2.26148E+12,4.74563E+11,1.17571E+12
1962,9016,"Balances; of a sensitivity of 5cg or better, with or without weights",Balances,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,289532,1427504,0.2452,1.7604,,,3336170148,,3.07454E+11,,2.31317E+11,
1962,9014,Navigational instruments and appliances; direction finding compasses,Compasses,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,98928029,6159520,2.5621,0.2323,,,2984812695,,2.03133E+11,,2.02046E+11,
1962,9013,"Liquid crystal devices not constituting articles provided for more specifically in other headings; lasers, not laser diodes; other optical appliances and instruments n.e.c. in this chapter",LCDs,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,961784,10072472,0.2628,4.0076,,,2338739037,,1.95075E+11,,1.62997E+11,
1962,9012,Microscopes (excluding optical microscopes); diffraction apparatus,Non-optical Microscopes,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,90556,2539136,0.0651,2.6592,,,2108553101,,1.33887E+11,,1.04787E+11,
1962,9011,"Microscopes, compound optical; including those for microphotography, microcinematography or microprojection",Microscopes,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,491248,7015875,0.1168,2.4293,,,,,,,,
1962,9010,"Photographic (including cinematographic) laboratory apparatus and equipment, n.e.c. in chapter 90; negatoscopes; projection screens",Photo Lab Equipment,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,26271399,2810108,2.5121,0.3913,,,394269907,5538568329,394269907,1.42193E+12,394269907,4.74563E+11
1962,9008,"Image projectors, other than cinematographic; photographic (other than cinematographic) enlargers and reducers",Image Projectors,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,3868833,3729221,0.534,0.7496,,,133912540.8,,247901631,,159143023.3,
1962,9007,"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing apparatus",Video Cameras,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,Instruments,#5c57d9,12620418,15610220,0.8433,1.519,,,,3336170148,53601978.47,3.07454E+11,77571146.82,2.31317E+11
